provider,external_id,club_id_sugerido,urba_club_id,categoria,sufijo,confidence,nivel,etapa_que_lo_crea,urba_institucion,urba_nombre_equipo,anios,veces
urba,130|formativo|,tizal,130,formativo,"",exacto,institucion,1,Tizal,Tizal ,2025,2
urba,100|universitario|,uba-agronomia,100,universitario,"",exacto,institucion,1,UBA Agronomia,UBA Agronomia,2021 2022 2023 2024 2025 2026,12
urba,100|universitario|B,uba-agronomia,100,universitario,B,exacto,institucion,1,UBA Agronomia,UBA Agronomia B,2023 2024 2025,3
urba,219|universitario|,uba-escuela-tecnica,219,universitario,"",exacto,institucion,1,UBA Escuela Tecnica,UBA Escuela Tecnica,2021 2022,4
urba,101|universitario|,uba-ingenieria,101,universitario,"",exacto,institucion,1,UBA Ingenieria,UBA Ingenieria,2021 2022 2023 2024 2025 2026,12
urba,102|universitario|,uba-medicina,102,universitario,"",exacto,institucion,1,UBA Medicina,UBA Medicina,2021 2022 2023 2024 2025 2026,10
urba,220|empresarial|,uba-sociales,220,empresarial,"",exacto,institucion,1,UBA Sociales,UBA Sociales,2022,1
urba,220|universitario|,uba-sociales,220,universitario,"",exacto,institucion,1,UBA Sociales,UBA Sociales,2021,2
urba,104|universitario|,uba-veterinaria,104,universitario,"",exacto,institucion,1,UBA Veterinaria,UBA Veterinaria,2023 2024 2025,5
urba,96|mayores|,uca-la-plata,96,mayores,"",exacto,institucion,1,UCA la Plata,UCA la Plata,2021,1
urba,96|universitario|,uca-la-plata,96,universitario,"",exacto,institucion,1,UCA la Plata,UCA la Plata,2021 2022 2023 2024 2025 2026,10
urba,106|femenino|,univ-nac-de-la-matanza,106,femenino,"",exacto,institucion,1,Univ. Nac de la Matanza,Univ. De la Matanza,2026,1
urba,106|mayores|,univ-nac-de-la-matanza,106,mayores,"",exacto,institucion,1,Univ. Nac de la Matanza,Universidad de la Matanza,2021,1
urba,106|universitario|,univ-nac-de-la-matanza,106,universitario,"",exacto,institucion,1,Univ. Nac de la Matanza,Universidad de la Matanza,2021 2022 2023 2024 2025 2026,9
urba,95|femenino|,univ-nac-de-la-plata,95,femenino,"",exacto,institucion,1,Univ. Nac de la Plata,Univ. Nac de la Plata,2024,1
urba,95|mayores|,univ-nac-de-la-plata,95,mayores,"",exacto,institucion,1,Univ. Nac de la Plata,Univ. Nac. De la Plata,2021,1
